Arn_x,DataSetId,Name,CreatedTime,LastUpdatedTime,ImportMode,RowLevelPermissionTagConfigurationApplied,ColumnLevelPermissionRulesApplied,DataSetName,ScheduleId,Interval,DayOfWeek,DayOfMonth,Timezone,TimeOfTheDay,RefreshType,Arn_y
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/51afda96-545c-488c-ae21-002ef643255e,51afda96-545c-488c-ae21-002ef643255e,Cohort-wise Cost Recovery appsflyer install date (Redshift),2023-05-08 13:10:52.094000+00:00,2023-05-08 13:25:41.576000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/51b2cb47-491a-44a9-9bfe-43396cd342aa,51b2cb47-491a-44a9-9bfe-43396cd342aa,Good Inactive Books,2022-02-01 12:00:44.736000+00:00,2023-02-07 13:00:35.439000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/51cabae8-1d56-4852-bb3a-2890ea39fc54,51cabae8-1d56-4852-bb3a-2890ea39fc54,median_no_of_days_to_come_back_including_churn_user,2023-03-21 12:02:25.093000+00:00,2023-05-30 08:40:05.573000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/51d5c49e-7577-4dbb-9ed3-d00447c065e8,51d5c49e-7577-4dbb-9ed3-d00447c065e8,Repeat Paying Users Analysis - RedShift,2023-04-11 11:39:12.052000+00:00,2023-05-25 04:45:13.802000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/52292e9f-ab71-49e8-8c09-6d9d966599dd,52292e9f-ab71-49e8-8c09-6d9d966599dd,Experiment Content - Redshift Updated New,2023-05-30 12:38:56.754000+00:00,2023-09-11 07:09:46.231000+00:00,SPICE,False,False,Experiment Content - Redshift Updated New,f8e0e55e-67ae-49ef-8546-18eda4ffde34,DAILY,,,Asia/Calcutta,10:39,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/52292e9f-ab71-49e8-8c09-6d9d966599dd/refresh-schedule/f8e0e55e-67ae-49ef-8546-18eda4ffde34
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/5269ed10-e5ff-4083-bf10-40102bd1a191,5269ed10-e5ff-4083-bf10-40102bd1a191,sub_genre_eng,2023-04-27 10:15:59.840000+00:00,2023-09-11 01:01:39.916000+00:00,SPICE,False,False,sub_genre_eng,4c03dee8-c54e-472c-9921-f0b9f523743f,DAILY,,,Asia/Calcutta,06:30,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/5269ed10-e5ff-4083-bf10-40102bd1a191/refresh-schedule/4c03dee8-c54e-472c-9921-f0b9f523743f
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/5290d9f1-7065-4d58-abf9-a4882a2584ce,5290d9f1-7065-4d58-abf9-a4882a2584ce,yakshini special show ads to revenue redshift,2023-05-03 10:13:58.742000+00:00,2023-09-10 12:25:24.190000+00:00,SPICE,False,False,yakshini special show ads to revenue redshift,eddb4173-a38c-4c9b-9429-cb24dbe10e77,WEEKLY,SUNDAY,,Asia/Calcutta,17:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/5290d9f1-7065-4d58-abf9-a4882a2584ce/refresh-schedule/eddb4173-a38c-4c9b-9429-cb24dbe10e77
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/52a2a0a1-bb21-4dac-a543-c8a50f8fc59c,52a2a0a1-bb21-4dac-a543-c8a50f8fc59c,Novels Rev Share Redshift,2023-05-23 05:41:32.198000+00:00,2023-09-11 09:00:48.698000+00:00,SPICE,False,False,Novels Rev Share Redshift,9c695864-bb21-483b-bb32-0847f4b8cc23,DAILY,,,Asia/Calcutta,13:50,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/52a2a0a1-bb21-4dac-a543-c8a50f8fc59c/refresh-schedule/9c695864-bb21-483b-bb32-0847f4b8cc23
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/52cafe90-8eeb-463c-a7ee-1264786b973e,52cafe90-8eeb-463c-a7ee-1264786b973e,Day wise activations on install cohort,2023-02-13 09:07:23.559000+00:00,2023-09-11 04:56:06.469000+00:00,SPICE,False,False,Day wise activations on install cohort,a80217fe-5478-467a-b7e1-d6f10f702bc6,DAILY,,,Asia/Calcutta,10:22,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/52cafe90-8eeb-463c-a7ee-1264786b973e/refresh-schedule/a80217fe-5478-467a-b7e1-d6f10f702bc6
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/52cd65a6-501a-4550-b138-45058697e61d,52cd65a6-501a-4550-b138-45058697e61d,core metrics v2,2021-03-10 12:22:23.315000+00:00,2023-07-04 08:49:15.936000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/52d310a6-e570-4918-a597-bedb43158f99,52d310a6-e570-4918-a597-bedb43158f99,WBP Drop Off V3 Normalized Retention Trial Books & WBP Books,2023-08-27 07:24:24.792000+00:00,2023-09-11 11:34:21.256000+00:00,SPICE,False,False,WBP Drop Off V3 Normalized Retention Trial Books & WBP Books,e200d580-4ee6-4735-9bac-a0154a1ec222,DAILY,,,Asia/Calcutta,16:35,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/52d310a6-e570-4918-a597-bedb43158f99/refresh-schedule/e200d580-4ee6-4735-9bac-a0154a1ec222
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/52f5a9bd-2248-4cad-92a5-84d8ebe46441,52f5a9bd-2248-4cad-92a5-84d8ebe46441,Retention LDAU WoW - Spenders Retention Pod - Redshift New,2023-07-31 11:55:00.068000+00:00,2023-08-02 13:41:45.944000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/52f76cd4-b93a-4e61-887c-1a19d1c8b4ea,52f76cd4-b93a-4e61-887c-1a19d1c8b4ea,Novels Rewarded Video's user retention Redshift,2023-06-02 10:27:51.859000+00:00,2023-08-02 05:36:20.153000+00:00,SPICE,False,False,,,,,,,,,
