Arn_x,DataSetId,Name,CreatedTime,LastUpdatedTime,ImportMode,RowLevelPermissionTagConfigurationApplied,ColumnLevelPermissionRulesApplied,DataSetName,ScheduleId,Interval,DayOfWeek,DayOfMonth,Timezone,TimeOfTheDay,RefreshType,Arn_y,LastUpdatedTime_IST
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/06cdcb59-1ac3-4fb2-b984-a3a7c815458b,06cdcb59-1ac3-4fb2-b984-a3a7c815458b,Interstestial Ads experiment v1 - Updated,2023-08-04 13:20:40.330000+00:00,2023-09-11 09:18:03.970000+00:00,SPICE,False,False,Interstestial Ads experiment v1 - Updated,40e1bdc6-4b90-4ac3-a229-ab5e4ee9480b,DAILY,,,Asia/Calcutta,14:43,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/06cdcb59-1ac3-4fb2-b984-a3a7c815458b/refresh-schedule/40e1bdc6-4b90-4ac3-a229-ab5e4ee9480b,2023-09-11 14:48:03.970000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/077413e3-9e94-4e30-ad4f-d5948052786c,077413e3-9e94-4e30-ad4f-d5948052786c,Rdau Eng Pending,2023-03-13 12:59:42.455000+00:00,2023-09-11 10:34:58.128000+00:00,SPICE,False,False,Rdau Eng Pending,1b59fb66-1788-41eb-b8b2-172a4c457e3a,DAILY,,,Asia/Calcutta,16:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/077413e3-9e94-4e30-ad4f-d5948052786c/refresh-schedule/1b59fb66-1788-41eb-b8b2-172a4c457e3a,2023-09-11 16:04:58.128000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/07d4c20c-dc66-49e3-aa19-63694660caf8,07d4c20c-dc66-49e3-aa19-63694660caf8,AB Testing Activated Users Show Retention by Source,2023-06-15 09:45:14.828000+00:00,2023-09-10 12:38:53.882000+00:00,SPICE,False,False,AB Testing Activated Users Show Retention by Source,cd2cd375-4b7b-4f86-a774-df78bc22e75f,DAILY,,,Asia/Calcutta,17:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/07d4c20c-dc66-49e3-aa19-63694660caf8/refresh-schedule/cd2cd375-4b7b-4f86-a774-df78bc22e75f,2023-09-10 18:08:53.882000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/07f0ad4c-7f07-44d2-a3cb-b8c53901d832,07f0ad4c-7f07-44d2-a3cb-b8c53901d832,Last Instance Spend Churn return Novels v2,2023-04-26 12:55:38.311000+00:00,2023-09-11 11:36:05.715000+00:00,SPICE,False,False,Last Instance Spend Churn return Novels v2,67a90e5c-26f0-4f57-857c-a57a23b22897,WEEKLY,MONDAY,,Asia/Calcutta,16:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/07f0ad4c-7f07-44d2-a3cb-b8c53901d832/refresh-schedule/67a90e5c-26f0-4f57-857c-a57a23b22897,2023-09-11 17:06:05.715000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0801f3fb-5ac5-4382-ac78-e80ec9d57908,0801f3fb-5ac5-4382-ac78-e80ec9d57908,Show Revenue Lifetime_RedShift,2023-02-28 13:50:36.680000+00:00,2023-09-05 06:38:44.950000+00:00,SPICE,False,False,Show Revenue Lifetime_RedShift,07c0fea8-0761-4904-b272-e39b6806ae81,WEEKLY,TUESDAY,,Asia/Calcutta,11:50,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0801f3fb-5ac5-4382-ac78-e80ec9d57908/refresh-schedule/07c0fea8-0761-4904-b272-e39b6806ae81,2023-09-05 12:08:44.950000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/082c8deb-0504-4356-bc2d-1866730510fd,082c8deb-0504-4356-bc2d-1866730510fd,Weekly Engagement metrices by Installs Cohort (Redshift),2023-01-25 10:36:07.289000+00:00,2023-09-11 12:05:22.401000+00:00,SPICE,False,False,Weekly Engagement metrices by Installs Cohort (Redshift),bb020d74-fbf2-49ef-a59a-18553dfe109d,WEEKLY,MONDAY,,Asia/Calcutta,17:35,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/082c8deb-0504-4356-bc2d-1866730510fd/refresh-schedule/bb020d74-fbf2-49ef-a59a-18553dfe109d,2023-09-11 17:35:22.401000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/084c55b5-d3e9-4a50-997f-eb8c9ebcf199,084c55b5-d3e9-4a50-997f-eb8c9ebcf199,Inactive users in last 7 days,2021-12-15 13:10:37.692000+00:00,2023-09-11 07:46:29.356000+00:00,SPICE,False,False,Inactive users in last 7 days,ea7b549d-d223-463e-8004-2d19a4c6af42,DAILY,,,Asia/Kolkata,13:15,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/084c55b5-d3e9-4a50-997f-eb8c9ebcf199/refresh-schedule/ea7b549d-d223-463e-8004-2d19a4c6af42,2023-09-11 13:16:29.356000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/08d69aad-b77e-40cb-9ace-0d308807067c,08d69aad-b77e-40cb-9ace-0d308807067c,Reactivation new experiment daily target count,2023-08-11 16:13:21.034000+00:00,2023-09-11 04:15:17.582000+00:00,SPICE,False,False,Reactivation new experiment daily target count,94d6db82-861e-48d7-a32d-1ca9baa32202,DAILY,,,Asia/Calcutta,09:37,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/08d69aad-b77e-40cb-9ace-0d308807067c/refresh-schedule/94d6db82-861e-48d7-a32d-1ca9baa32202,2023-09-11 09:45:17.582000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0a17c4a4-1666-44db-81fd-f9c7f4462b4a,0a17c4a4-1666-44db-81fd-f9c7f4462b4a,Fast Pass Revenue Novel Redshift,2023-04-14 02:51:52.223000+00:00,2023-09-11 10:34:34.011000+00:00,SPICE,False,False,Fast Pass Revenue Novel Redshift,62e0f19e-ebd5-4f8c-ab01-b7da69c2d0e2,DAILY,,,Asia/Calcutta,16:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0a17c4a4-1666-44db-81fd-f9c7f4462b4a/refresh-schedule/62e0f19e-ebd5-4f8c-ab01-b7da69c2d0e2,2023-09-11 16:04:34.011000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0a2836e8-b2bb-4a96-9937-89d03289fdfe,0a2836e8-b2bb-4a96-9937-89d03289fdfe,Writers Experiment Engagement View Weekly (Activity),2023-07-18 16:42:00.635000+00:00,2023-09-11 10:51:09.520000+00:00,SPICE,False,False,Writers Experiment Engagement View Weekly (Activity),3cb50d3f-0df7-4a6b-81bc-ca9e28a0083f,DAILY,,,Asia/Calcutta,16:20,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0a2836e8-b2bb-4a96-9937-89d03289fdfe/refresh-schedule/3cb50d3f-0df7-4a6b-81bc-ca9e28a0083f,2023-09-11 16:21:09.520000+00:00
