DataSetId,DataSetName,ScheduleId,Interval,DayOfWeek,DayOfMonth,Timezone,TimeOfTheDay,RefreshType,Arn
082c8deb-0504-4356-bc2d-1866730510fd,Weekly Engagement metrices by Installs Cohort (Redshift),bb020d74-fbf2-49ef-a59a-18553dfe109d,WEEKLY,MONDAY,,Asia/Calcutta,17:35,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/082c8deb-0504-4356-bc2d-1866730510fd/refresh-schedule/bb020d74-fbf2-49ef-a59a-18553dfe109d
084c55b5-d3e9-4a50-997f-eb8c9ebcf199,Inactive users in last 7 days,ea7b549d-d223-463e-8004-2d19a4c6af42,DAILY,,,Asia/Kolkata,13:15,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/084c55b5-d3e9-4a50-997f-eb8c9ebcf199/refresh-schedule/ea7b549d-d223-463e-8004-2d19a4c6af42
08d69aad-b77e-40cb-9ace-0d308807067c,Reactivation new experiment daily target count,94d6db82-861e-48d7-a32d-1ca9baa32202,DAILY,,,Asia/Calcutta,09:37,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/08d69aad-b77e-40cb-9ace-0d308807067c/refresh-schedule/94d6db82-861e-48d7-a32d-1ca9baa32202
0a17c4a4-1666-44db-81fd-f9c7f4462b4a,Fast Pass Revenue Novel Redshift,62e0f19e-ebd5-4f8c-ab01-b7da69c2d0e2,DAILY,,,Asia/Calcutta,16:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0a17c4a4-1666-44db-81fd-f9c7f4462b4a/refresh-schedule/62e0f19e-ebd5-4f8c-ab01-b7da69c2d0e2
0a2836e8-b2bb-4a96-9937-89d03289fdfe,Writers Experiment Engagement View Weekly (Activity),3cb50d3f-0df7-4a6b-81bc-ca9e28a0083f,DAILY,,,Asia/Calcutta,16:20,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0a2836e8-b2bb-4a96-9937-89d03289fdfe/refresh-schedule/3cb50d3f-0df7-4a6b-81bc-ca9e28a0083f
0a31be5e-668b-4c69-a374-ccfaa4d97ee8,Month on Revenue wrt Install Month - Redshift,389d0983-3d68-4605-b847-51b891e1ff8b,MONTHLY,,2,Asia/Calcutta,16:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0a31be5e-668b-4c69-a374-ccfaa4d97ee8/refresh-schedule/389d0983-3d68-4605-b847-51b891e1ff8b
0ad6e14a-8eb3-4643-974f-bc207098748e,Coin Balance at User Tag Level,e3d8b776-bec9-46a0-9777-80599b00a1c7,DAILY,,,Asia/Calcutta,13:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0ad6e14a-8eb3-4643-974f-bc207098748e/refresh-schedule/e3d8b776-bec9-46a0-9777-80599b00a1c7
0bc610e7-189b-4057-acde-7d883227decf,Books Core Metrics redshift,c8ff022d-a2ae-4b98-b3b8-fcbfd70a3c8a,DAILY,,,Asia/Calcutta,17:10,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0bc610e7-189b-4057-acde-7d883227decf/refresh-schedule/c8ff022d-a2ae-4b98-b3b8-fcbfd70a3c8a
0ccc06f2-9d4e-4582-b315-cd64d3db7d08,Subs+PPV Coin Pack wise txns experiments [redshift],65e209c7-2cf1-45f4-b9e2-8d1dff2c66e4,DAILY,,,Asia/Calcutta,13:15,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0ccc06f2-9d4e-4582-b315-cd64d3db7d08/refresh-schedule/65e209c7-2cf1-45f4-b9e2-8d1dff2c66e4
0dc6b7f4-c50e-4443-a104-c21f508ce84c,Median Days Publish Gap,640591ca-75c8-4d10-9fe9-5a55ad385573,WEEKLY,MONDAY,,Asia/Calcutta,16:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0dc6b7f4-c50e-4443-a104-c21f508ce84c/refresh-schedule/640591ca-75c8-4d10-9fe9-5a55ad385573
0df76231-a7b7-4e68-a946-965f7866d67d,Show-wise hourly retention rolling on acquired date redshift,1802f0d7-612c-4b28-86c1-b260d134cc89,WEEKLY,SATURDAY,,Asia/Calcutta,20:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0df76231-a7b7-4e68-a946-965f7866d67d/refresh-schedule/1802f0d7-612c-4b28-86c1-b260d134cc89
0e7bd6a9-32e6-4aec-a772-4c8a3078f485,projected_arpl_v2_try_2,dff52285-b30e-4fca-b6e2-7868c79ae70e,DAILY,,,Asia/Calcutta,12:30,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0e7bd6a9-32e6-4aec-a772-4c8a3078f485/refresh-schedule/dff52285-b30e-4fca-b6e2-7868c79ae70e
0f72fc3b-b1c4-4a4e-9abc-b5cdbced0dec,Monthly Payments Redshift,40082267-5fb1-495a-9a32-edc5b11f1d57,DAILY,,,Asia/Calcutta,15:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0f72fc3b-b1c4-4a4e-9abc-b5cdbced0dec/refresh-schedule/40082267-5fb1-495a-9a32-edc5b11f1d57
0fb1d61b-144a-4b4f-aff6-890b65098b8c,last_20_episodes_activation_data_redshift,97f34b53-0c07-4656-9d58-5c47ce27beae,MONTHLY,,2,Asia/Calcutta,19:30,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0fb1d61b-144a-4b4f-aff6-890b65098b8c/refresh-schedule/97f34b53-0c07-4656-9d58-5c47ce27beae
